Player,Salary_Rank_2020,2015,2016,2017,2018,2019,2020
Mason Plumlee,153.0,1415520.0,2328530.0,14041096.0,12917808.0,14041096.0,8000000.0
PJ Tucker,154.0,5500000.0,5300000.0,7590035.0,7959537.0,8349039.0,7969537.0
LaMelo Ball,155.0,,,,,,7839960.0
Seth Curry,156.0,947276.0,2898000.0,3028410.0,2795000.0,7461380.0,7834449.0
Derrick Rose,157.0,20093064.0,21323252.0,2533488.0,2176260.0,7317074.0,7682926.0
Cristiano Felicio,158.0,525093.0,874636.0,7843500.0,8470980.0,8156500.0,7529020.0
Rajon Rondo,159.0,9500000.0,14000000.0,6300000.0,9000000.0,2564753.0,7500000.0
De'Andre Hunter,160.0,,,,,7068360.0,7422000.0
Jonathan Isaac,161.0,,,4186320.0,4969080.0,5806440.0,7362565.0
Doug McDermott,162.0,2380440.0,2483040.0,3294994.0,7333334.0,7333333.0,7333333.0
Robin Lopez,163.0,12650000.0,13219250.0,13788500.0,14357750.0,4767000.0,7300000.0
Jaren Jackson Jr,164.0,,,,5922720.0,6927480.0,7257360.0
JaMychal Green,165.0,845059.0,980431.0,8533333.0,8066667.0,4767000.0,7199760.0
Nemanja Bjelica,166.0,3950000.0,3800000.0,3950000.0,6500000.0,6825000.0,7150000.0
Patrick Williams,167.0,,,,,,7068360.0
Ivica Zubac,168.0,,1034865.0,1312611.0,1544951.0,6481482.0,7000000.0
Darius Miller,169.0,,,2100000.0,2205000.0,7250000.0,7000000.0
Aron Baynes,170.0,6500000.0,6500000.0,4300000.0,5193600.0,5453280.0,7000000.0
Jabari Parker,171.0,5152440.0,5374320.0,6782392.0,20000000.0,6500000.0,6930729.0
Lauri Markkanen,172.0,,,3821640.0,4536120.0,5300400.0,6731508.0
Darius Garland,173.0,,,,,6400920.0,6720720.0
DJ Augustin,174.0,3000000.0,7250000.0,7250000.0,7250000.0,7250000.0,6666667.0
Trae Young,175.0,,,,5363280.0,6273000.0,6571800.0
Chris Boucher,176.0,,,77250.0,457418.0,1588231.0,6500000.0
Juan Hernangomez,177.0,,1987440.0,2076840.0,2166360.0,3321029.0,6493000.0
Joakim Noah,178.0,13400000.0,17000000.0,17765000.0,20261172.0,381360.0,6431666.0
Isaac Okoro,179.0,,,,,,6400920.0
Frank Ntilikina,180.0,,,3501120.0,4155720.0,4855800.0,6176578.0
DeMarre Carroll,181.0,13600000.0,14200000.0,14800000.0,15400000.0,7339258.0,6119676.0
